INSTNM,AWLEVEL,distance (in miles),CTOTALT_2018,CTOTALT_2017,CTOTALT_2016,CTOTALT_2015,CTOTALT_2014,Avg_completion_5yrs,STUFACR _2017,EFYTOTLT_2018,EFYTOTLT_2017,EFYTOTLT_2016,EFYTOTLT_2015,EFYTOTLT_2014,Avg_12mEnroll_5yrs,CDACTUA_2017,CDACTUA_2017,CDACTUA_2016,CDACTUA_2015,CDACTUA_2014,Avg_12mEnrollInst_5yrs,FTEUG_2018,FTEUG_2017,FTEUG_2016,FTEUG_2015,FTEUG_2014,Avg_12mEnrollfte_5yrs,EFTOTLT_2017,EFTOTLT_2016,EFTOTLT_2015,EFTOTLT_2014,EFTOTLT_2013,Avg_FallEnroll_efatotal_5yrs,APPLCN_2017,ADMSSN_2017,ENRLT_2017,ENRLFT_2017,ENRLPT_2017,ACTMT25_2017,SATMT75_2017,SATMT25_2017,ACTMT75 _2017,UPGRNTN_1617,UPGRNTP_1617,UPGRNTT_1617,UPGRNTA_1617,UFLOANN_1617,UFLOANP_1617,UFLOANT_1617,UFLOANA_1617,GISTT2_1617,GISTA2_1617,GISTT1_1617,GISTA1_1617,GISTT0_1617,GISTA0_1617,GIS4T2_1617,GIS4A2_1617,GIS4N22_1617,GIS4G22_1617,GIS4T22_1617,GIS4A22_1617,GIS4N32_1617,GIS4G32_1617,GIS4T32_1617,GIS4A32_1617,GIS4N42_1617,GIS4G42_1617,GIS4T42_1617,GIS4A42_1617,NPGRN2_1617,NPGRN1_1617,NPGRN0_1617,NPT412_1617,NPT422_1617,NPT432_1617,NPT442_1617,NPT452_1617,NPT411_1617,NPT421_1617,NPT431_1617,NPT441_1617,NPT451_1617,NPT410_1617,NPT420_1617,NPT430_1617,NPT440_1617,NPT450  _1617
The University of Texas at Arlington,5,15.447304719051946,3820.0,3563.0,3180.0,2729.0,2405.0,3139.4,24.0,42954.0,42966.0,39975.0,38672.0,36976.0,40308.6,838430.0,838430.0,760505.0,728650.0,691716.0,776255.4,28733.0,27948.0,25350.0,24288.0,23057.0,25875.2,33307.0,32775.0,30633.0,29883.0,25690.0,30457.6,12333.0,8784.0,3375.0,3163.0,212.0,19.0,640.0,530.0,26.0,11212.0,34.0,44587915.0,3977.0,13917.0,42.0,109338543.0,7856.0,16552092.0,8480.0,15935172.0,9028.0,16047915.0,8478.0,13586219.0,7954.0,390.0,388.0,3760087.0,9641.0,306.0,280.0,2337464.0,7639.0,220.0,139.0,748421.0,3402.0,,,,,,,,,,,,,,,,,,
El Centro College,3,5.160991757604338,215.0,269.0,320.0,300.0,309.0,282.6,18.0,20107.0,18750.0,17807.0,17335.0,18649.0,18529.6,162845.0,162845.0,155495.0,157360.0,174301.0,163787.6,5631.0,5428.0,5183.0,5245.0,5810.0,5459.4,10797.0,10750.0,10024.0,10549.0,10771.0,10578.2,,,,,,,,,,3229.0,30.0,15087948.0,4673.0,1364.0,13.0,9027939.0,6619.0,445812.0,4899.0,952146.0,4761.0,1201009.0,5025.0,401966.0,4902.0,21.0,21.0,108865.0,5184.0,10.0,9.0,23803.0,2380.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
West Coast University-Dallas,5,0.0,162.0,189.0,137.0,137.0,32.0,131.4,19.0,1005.0,811.0,670.0,601.0,471.0,711.6,19222.0,19222.0,17340.0,16010.0,13214.0,17721.2,761.0,641.0,578.0,534.0,440.0,590.8,608.0,548.0,450.0,428.0,320.0,470.8,1.0,1.0,0.0,,,,,,,287.0,52.0,1180460.0,4113.0,422.0,77.0,4034775.0,9561.0,,,,,,,,,,,,,,,,,,,,,23639.0,,,23639.0,,33959.0,,,,,,,,,,,,46223.0
Brookhaven College,3,7.096908762816128,67.0,66.0,75.0,50.0,72.0,66.0,22.0,25870.0,25090.0,23681.0,21216.0,22735.0,23718.4,211341.0,211341.0,200491.0,181710.0,198335.0,201129.2,7126.0,7045.0,6683.0,6057.0,6611.0,6704.4,13286.0,12775.0,12267.0,12403.0,12319.0,12610.0,,,,,,,,,,2941.0,23.0,13326804.0,4531.0,1307.0,10.0,8259360.0,6319.0,775839.0,4702.0,951771.0,4931.0,1361391.0,4862.0,622916.0,4514.0,41.0,40.0,189873.0,4631.0,25.0,20.0,63201.0,2528.0,5.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
ITT Technical Institute-Richardson,3,12.508862477901895,,,,36.0,53.0,44.5,,,,,1331.0,1268.0,1299.5,,,,32700.0,30963.0,31831.5,,,,727.0,688.0,707.5,,,715.0,708.0,652.0,691.6666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Nursing Institute,3,10.029216725102874,56.0,34.0,18.0,27.0,23.0,31.6,7.0,391.0,375.0,381.0,250.0,173.0,314.0,90.0,90.0,,,,129.0,267.0,255.0,266.0,171.0,151.0,222.0,175.0,244.0,211.0,160.0,169.0,191.8,496.0,53.0,10.0,10.0,,,,,,244.0,65.0,882518.0,3617.0,277.0,74.0,2536107.0,9156.0,,,,,,,,,,,,,,,,,,,,,20925.0,25560.0,24866.0,20751.0,21367.0,23243.0,24555.0,24555.0,25021.0,26824.0,26997.0,28647.0,28647.0,24615.0,25315.0,25024.0,,
Mountain View College,3,7.18507984761052,27.0,25.0,24.0,19.0,40.0,27.0,27.0,17981.0,17102.0,16583.0,14414.0,15884.0,16392.8,161580.0,161580.0,155741.0,137751.0,145245.0,154071.4,5668.0,5386.0,5191.0,4592.0,4842.0,5135.8,10220.0,9652.0,9395.0,8950.0,8797.0,9402.8,,,,,,,,,,2910.0,30.0,13727552.0,4717.0,817.0,8.0,4762607.0,5829.0,1519027.0,4980.0,2316352.0,4928.0,2092470.0,4923.0,1333963.0,4697.0,82.0,82.0,398256.0,4857.0,49.0,39.0,127637.0,2605.0,7.0,2.0,4530.0,647.0,,,,,,,,,,,,,,,,,,
Concorde Career College-Dallas,3,9.918550534866744,38.0,21.0,42.0,20.0,0.0,24.2,34.0,1228.0,1231.0,1017.0,1080.0,991.0,1109.4,9226.0,9226.0,8290.0,7302.0,7107.0,8659.0,677.0,625.0,653.0,611.0,575.0,628.2,728.0,734.0,611.0,555.0,703.0,666.2,443.0,290.0,202.0,202.0,,,,,,753.0,61.0,2514301.0,3339.0,868.0,71.0,5453679.0,6283.0,,,,,,,,,,,,,,,,,,,,,23402.0,21927.0,21182.0,23222.0,22982.0,24308.0,26566.0,26591.0,21785.0,23836.0,26775.0,,,21076.0,22921.0,26042.0,,
Carrington College-Mesquite,3,14.411417026450131,41.0,7.0,0.0,,,16.0,11.0,153.0,222.0,448.0,433.0,460.0,343.2,3992.0,3992.0,8056.0,9035.0,9257.0,6616.8,91.0,133.0,269.0,301.0,309.0,220.6,107.0,142.0,243.0,270.0,308.0,214.0,0.0,,,,,,,,,144.0,65.0,455052.0,3160.0,80.0,36.0,670915.0,8386.0,,,,,,,,,,,,,,,,,,,,,30077.0,25375.0,,29709.0,30315.0,30703.0,,32936.0,23932.0,26819.0,,,,,,,,
Argosy University-Dallas,5,7.551632191656559,,9.0,0.0,0.0,,3.0,21.0,403.0,387.0,371.0,408.0,418.0,397.4,5843.0,5843.0,5417.0,5820.0,5298.0,5636.0,193.0,195.0,181.0,194.0,177.0,188.0,257.0,232.0,229.0,271.0,219.0,241.6,,,,,,,,,,119.0,51.0,371909.0,3125.0,146.0,63.0,1233621.0,8449.0,,,,,,,,,,,,,,,,,,,,,22555.0,19516.0,19920.0,22555.0,,,,,19516.0,,,,,19920.0,,,,
Dallas Nursing Institute,5,10.029216725102874,0.0,,,,,0.0,7.0,391.0,375.0,381.0,250.0,173.0,314.0,90.0,90.0,,,,129.0,267.0,255.0,266.0,171.0,151.0,222.0,175.0,244.0,211.0,160.0,169.0,191.8,496.0,53.0,10.0,10.0,,,,,,244.0,65.0,882518.0,3617.0,277.0,74.0,2536107.0,9156.0,,,,,,,,,,,,,,,,,,,,,20925.0,25560.0,24866.0,20751.0,21367.0,23243.0,24555.0,24555.0,25021.0,26824.0,26997.0,28647.0,28647.0,24615.0,25315.0,25024.0,,
