INSTNM,AWLEVEL,distance (in miles),LATITUDE,LONGITUD,CTOTALT_2018,CTOTALT_2017,CTOTALT_2016,CTOTALT_2015,CTOTALT_2014,Avg_completion_5yrs,STUFACR _2017,EFYTOTLT_2018,EFYTOTLT_2017,EFYTOTLT_2016,EFYTOTLT_2015,EFYTOTLT_2014,Avg_12mEnroll_5yrs,CDACTUA_2017,CDACTUA_2017,CDACTUA_2016,CDACTUA_2015,CDACTUA_2014,Avg_12mEnrollInst_5yrs,FTEUG_2018,FTEUG_2017,FTEUG_2016,FTEUG_2015,FTEUG_2014,Avg_12mEnrollfte_5yrs,EFTOTLT_2017,EFTOTLT_2016,EFTOTLT_2015,EFTOTLT_2014,EFTOTLT_2013,Avg_FallEnroll_efatotal_5yrs,APPLCN_2017,ADMSSN_2017,ENRLT_2017,ENRLFT_2017,ENRLPT_2017,ACTMT25_2017,SATMT75_2017,SATMT25_2017,ACTMT75 _2017,UPGRNTN_1617,UPGRNTP_1617,UPGRNTT_1617,UPGRNTA_1617,UFLOANN_1617,UFLOANP_1617,UFLOANT_1617,UFLOANA_1617,GISTT2_1617,GISTA2_1617,GISTT1_1617,GISTA1_1617,GISTT0_1617,GISTA0_1617,GIS4T2_1617,GIS4A2_1617,GIS4N22_1617,GIS4G22_1617,GIS4T22_1617,GIS4A22_1617,GIS4N32_1617,GIS4G32_1617,GIS4T32_1617,GIS4A32_1617,GIS4N42_1617,GIS4G42_1617,GIS4T42_1617,GIS4A42_1617,NPGRN2_1617,NPGRN1_1617,NPGRN0_1617,NPT412_1617,NPT422_1617,NPT432_1617,NPT442_1617,NPT452_1617,NPT411_1617,NPT421_1617,NPT431_1617,NPT441_1617,NPT451_1617,NPT410_1617,NPT420_1617,NPT430_1617,NPT440_1617,NPT450  _1617
The University of Texas at Arlington,5,15.44730472,32.729718,-97.11296,3820,3563,3180,2729,2405,3139.4,24,42954,42966,39975,38672,36976,40308.6,838430,838430,760505,728650,691716,776255.4,28733,27948,25350,24288,23057,25875.2,33307,32775,30633,29883,25690,30457.6,12333,8784,3375,3163,212,19,640,530,26,11212,34,44587915,3977,13917,42,109338543,7856,16552092,8480,15935172,9028,16047915,8478,13586219,7954,390,388,3760087,9641,306,280,2337464,7639,220,139,748421,3402,,,,,,,,,,,,,,,,,,
Texas Woman's University,5,31.31712957,33.227002,-97.129088,514,445,444,388,439,446,18,12131,12020,11785,11128,11029,11618.6,255035,255035,246561,239920,237588,246805.8,8498,8501,8219,7997,7920,8227,10310,10407,10080,9680,9515,9998.4,5502,4716,1280,1249,31,17,530,430,23,4312,41,18077869,4192,5339,51,37927862,7104,8537261,8444,7927051,8406,8263550,8546,7192813,8046,174,174,1731018,9948,200,195,1431466,7157,111,73,303024,2730,,,,,,,,,,,,,,,,,,
El Centro College,3,5.160991758,32.779817,-96.805361,215,269,320,300,309,282.6,18,20107,18750,17807,17335,18649,18529.6,162845,162845,155495,157360,174301,163787.6,5631,5428,5183,5245,5810,5459.4,10797,10750,10024,10549,10771,10578.2,,,,,,,,,,3229,30,15087948,4673,1364,13,9027939,6619,445812,4899,952146,4761,1201009,5025,401966,4902,21,21,108865,5184,10,9,23803,2380,0,0,0,,,,,,,,,,,,,,,,,,,
Tarrant County College District,3,26.95150567,32.747501,-97.327948,263,265,250,227,246,250.2,23,77858,76569,76664,77212,76904,77041.4,957815,957815,965449,986956,1005495,977936.4,32466,31927,32182,32899,33517,32598.2,52957,51350,51688,50595,50771,51472.2,,,,,,,,,,16406,32,55416641,3378,11463,22,27603252,2408,9323241,3762,11196451,3860,11745405,4196,9029277,4354,196,195,937872,4785,133,130,387753,2915,49,23,45991,939,,,,,,,,,,,,,,,,,,
Baylor University,5,,32.78809,-96.77536,239,208,195,191,188,204.2,14,14890,14951,14785,14505,13927,14611.6,437937,437937,432917,422035,404841,426910.2,14561,14598,14431,14068,13495,14230.6,14316,14348,14189,13859,13292,14000.8,37083,14442,3320,3316,4,25,680,590,29,2618,18,11048878,4220,6311,44,42889557,6796,,,,,,,,,,,,,,,,,,,,,37745,36294,34413,26321,28158,31484,33706,41004,27222,27694,29433,32721,38993,28128,27851,30065,32247,37236
Texas Christian University,5,29.48379278,32.709568,-97.361537,194,187,191,201,188,192.2,13,9342,9258,9261,9031,9040,9186.4,262774,262774,262895,255061,255593,260619.2,8892,8759,8763,8502,8520,8687.2,9011,8891,8894,8647,8640,8816.6,19740,8110,1955,1949,6,25,670,560,29,1123,13,4913104,4375,2502,28,17441660,6971,,,,,,,,,,,,,,,,,,,,,35363,33362,31085,25811,22603,29552,34455,43006,21600,21078,26735,34011,42722,20406,22169,28172,32722,38918
West Coast University-Dallas,5,0,32.82726,-96.87399,162,189,137,137,32,131.4,19,1005,811,670,601,471,711.6,19222,19222,17340,16010,13214,17721.2,761,641,578,534,440,590.8,608,548,450,428,320,470.8,1,1,0,,,,,,,287,52,1180460,4113,422,77,4034775,9561,,,,,,,,,,,,,,,,,,,,,23639,,,23639,,33959,,,,,,,,,,,,46223
Chamberlain University-Texas,5,,32.93361,-97.01129,184,172,111,107,58,126.4,6,1011,1189,1029,671,425,865,24196,24196,23167,15162,10420,18761.4,580,672,644,421,289,521.2,729,868,639,399,258,578.6,20,10,4,2,2,,,,,445,51,1347313,3028,721,83,6917259,9594,,,,,,,,,,,,,,,,,,,,,28789,19673,,22853,27453,,,33018,19673,,,,,,,35432,,
Collin County Community College District,3,26.84830027,33.16241,-96.63894,179,114,113,107,113,125.2,24,45468,44108,42465,41482,41301,42964.8,574031,574031,547992,543786,570330,566844.2,19936,19134,18266,18126,19011,18894.6,31609,29703,28188,27991,27972,29092.6,,,,,,,,,,4793,16,16667222,3477,3046,10,16744697,5497,3997465,4522,3243218,4121,4700764,4520,3790930,4148,218,212,1072037,4918,165,131,408214,2474,70,15,54493,778,,,,,,,,,,,,,,,,,,
Brookhaven College,3,7.096908763,32.928237,-96.85016,67,66,75,50,72,66,22,25870,25090,23681,21216,22735,23718.4,211341,211341,200491,181710,198335,201129.2,7126,7045,6683,6057,6611,6704.4,13286,12775,12267,12403,12319,12610,,,,,,,,,,2941,23,13326804,4531,1307,10,8259360,6319,775839,4702,951771,4931,1361391,4862,622916,4514,41,40,189873,4631,25,20,63201,2528,5,0,0,0,,,,,,,,,,,,,,,,,,
ITT Technical Institute-Richardson,3,12.50886248,32.979759,-96.757217,,,,36,53,44.5,,,,,1331,1268,1299.5,,,,32700,30963,31831.5,,,,727,688,707.5,,,715,708,652,691.6666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Nursing Institute,3,10.02921673,32.9138,-96.734878,56,34,18,27,23,31.6,7,391,375,381,250,173,314,90,90,,,,129,267,255,266,171,151,222,175,244,211,160,169,191.8,496,53,10,10,,,,,,244,65,882518,3617,277,74,2536107,9156,,,,,,,,,,,,,,,,,,,,,20925,25560,24866,20751,21367,23243,24555,24555,25021,26824,26997,28647,28647,24615,25315,25024,,
Mountain View College,3,7.185079848,32.726573,-96.903798,27,25,24,19,40,27,27,17981,17102,16583,14414,15884,16392.8,161580,161580,155741,137751,145245,154071.4,5668,5386,5191,4592,4842,5135.8,10220,9652,9395,8950,8797,9402.8,,,,,,,,,,2910,30,13727552,4717,817,8,4762607,5829,1519027,4980,2316352,4928,2092470,4923,1333963,4697,82,82,398256,4857,49,39,127637,2605,7,2,4530,647,,,,,,,,,,,,,,,,,,
Concorde Career College-Dallas,3,9.918550535,32.91856,-96.741711,38,21,42,20,0,24.2,34,1228,1231,1017,1080,991,1109.4,9226,9226,8290,7302,7107,8659,677,625,653,611,575,628.2,728,734,611,555,703,666.2,443,290,202,202,,,,,,753,61,2514301,3339,868,71,5453679,6283,,,,,,,,,,,,,,,,,,,,,23402,21927,21182,23222,22982,24308,26566,26591,21785,23836,26775,,,21076,22921,26042,,
Carrington College-Mesquite,3,14.41141703,32.815899,-96.625985,41,7,0,,,16,11,153,222,448,433,460,343.2,3992,3992,8056,9035,9257,6616.8,91,133,269,301,309,220.6,107,142,243,270,308,214,0,,,,,,,,,144,65,455052,3160,80,36,670915,8386,,,,,,,,,,,,,,,,,,,,,30077,25375,,29709,30315,30703,,32936,23932,26819,,,,,,,,
Argosy University-Dallas,5,7.551632192,32.928188,-96.823294,,9,0,0,,3,21,403,387,371,408,418,397.4,5843,5843,5417,5820,5298,5636,193,195,181,194,177,188,257,232,229,271,219,241.6,,,,,,,,,,119,51,371909,3125,146,63,1233621,8449,,,,,,,,,,,,,,,,,,,,,22555,19516,19920,22555,,,,,19516,,,,,19920,,,,
Dallas Nursing Institute,5,10.02921673,32.9138,-96.734878,0,,,,,0,7,391,375,381,250,173,314,90,90,,,,129,267,255,266,171,151,222,175,244,211,160,169,191.8,496,53,10,10,,,,,,244,65,882518,3617,277,74,2536107,9156,,,,,,,,,,,,,,,,,,,,,20925,25560,24866,20751,21367,23243,24555,24555,25021,26824,26997,28647,28647,24615,25315,25024,,
